team,qf_pct,sf_pct,final_pct,win_pct
France,100.0,58.8,34.8,19.8
Morocco,100.0,41.2,21.4,11.2
Spain,63.7,35.2,20.0,10.5
Argentina,65.4,35.2,20.0,10.4
Portugal,62.3,33.4,18.0,8.0
Brazil,52.5,31.5,13.8,7.8
Belgium,60.3,28.8,13.5,7.4
Mexico,64.5,34.0,16.8,7.0
England,47.5,26.5,12.3,6.9
Colombia,34.6,15.2,7.1,3.0
USA,37.8,17.2,6.4,2.4
Switzerland,36.3,14.4,6.2,2.3
Norway,39.7,13.1,4.2,1.8
Egypt,35.5,15.4,5.4,1.7
