model,accuracy,precision,recall,f1,roc_auc,log_loss
XGBoost (tuned),0.6215,0.558,0.6215,0.5442,0.7751,0.8511
Random Forest,0.6192,0.4844,0.6192,0.538,0.7762,0.855
Logistic Regression,0.615,0.5436,0.615,0.5375,0.7703,0.8561
XGBoost (base),0.6188,0.5614,0.6188,0.5588,0.7689,0.8573
